Id,Name,Platform_x,Publisher_x,Genre,ESRB_Rating,Platform_y,Publisher_y,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
183,Minecraft,PS4,Sony Computer Entertainment,Misc,E10,PSV,Sony Computer Entertainment America,4J Studios,,,,2.47,0.22,0.73,1.25,0.27,2014.0
183,Minecraft,PS4,Sony Computer Entertainment,Sandbox,E10,NS,Mojang,4J Studios,9.2,,,1.89,0.69,0.56,0.52,0.12,2018.0
183,Minecraft,PS4,Sony Computer Entertainment,Misc,E10,WiiU,Mojang,4J Studios,5.5,,,1.47,0.5,0.49,0.38,0.09,2016.0
183,Minecraft,PS4,Sony Computer Entertainment,Misc,E10,3DS,Nintendo,Other Ocean Interactive,6.7,,,0.37,0.33,,,0.04,2017.0
183,Minecraft,PS4,Sony Computer Entertainment,Misc,,And,Mojang,Mojang,,,,,,,,,2011.0
183,Minecraft,PS4,Sony Computer Entertainment,Misc,,iOS,Mojang,Mojang,,,,,,,,,2011.0
191,Minecraft,PS3,Sony Computer Entertainment America,Misc,,PC,Mojang,Mojang AB,10.0,,30.01,,,,,,2010.0
191,Minecraft,PS3,Sony Computer Entertainment America,Misc,E10,X360,Microsoft Studios,Mojang,,,13.0,,,,,,2013.0
191,Minecraft,PS3,Sony Computer Entertainment America,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,,,6.33,1.89,3.13,0.35,0.96,2014.0
191,Minecraft,PS3,Sony Computer Entertainment America,Misc,E10,PS3,Sony Computer Entertainment America,Mojang,,,,6.05,2.21,2.86,,0.99,2014.0
191,Minecraft,PS3,Sony Computer Entertainment America,Misc,E10,XOne,Microsoft Studios,Mojang,,,,5.43,3.23,1.71,,0.49,2014.0
191,Minecraft,PS3,Sony Computer Entertainment America,Misc,E10,PSV,Sony Computer Entertainment America,4J Studios,,,,2.47,0.22,0.73,1.25,0.27,2014.0
191,Minecraft,PS3,Sony Computer Entertainment America,Sandbox,E10,NS,Mojang,4J Studios,9.2,,,1.89,0.69,0.56,0.52,0.12,2018.0
191,Minecraft,PS3,Sony Computer Entertainment America,Misc,E10,WiiU,Mojang,4J Studios,5.5,,,1.47,0.5,0.49,0.38,0.09,2016.0
191,Minecraft,PS3,Sony Computer Entertainment America,Misc,E10,3DS,Nintendo,Other Ocean Interactive,6.7,,,0.37,0.33,,,0.04,2017.0
191,Minecraft,PS3,Sony Computer Entertainment America,Misc,,And,Mojang,Mojang,,,,,,,,,2011.0
191,Minecraft,PS3,Sony Computer Entertainment America,Misc,,iOS,Mojang,Mojang,,,,,,,,,2011.0
12,Wii Sports Resort,Wii,Nintendo,Sports,E,Wii,Nintendo,Nintendo EAD,8.0,8.8,33.09,,,,,,2009.0
14,New Super Mario Bros.,DS,Nintendo,Platform,E,DS,Nintendo,Nintendo EAD,9.1,8.1,30.8,,,,,,2006.0
15,New Super Mario Bros. Wii,Wii,Nintendo,Platform,E,Wii,Nintendo,Nintendo EAD,8.6,9.2,30.22,,,,,,2009.0
16,Tetris,GB,Nintendo,Puzzle,E,GB,Nintendo,Bullet Proof Software,,,30.26,,,,,,1989.0
16,Tetris,GB,Nintendo,Puzzle,,NES,Nintendo,Nintendo,,,5.58,,,,,,1989.0
16,Tetris,GB,Nintendo,Puzzle,,WS,Vanguard,Vanguard Works,,,,,,,,,2002.0
16,Tetris,GB,Nintendo,Puzzle,E,PSN,Electronic Arts,Electronic Arts,7.5,,,,,,,,2011.0
17,Duck Hunt,NES,Nintendo,Shooter,,NES,Nintendo,Nintendo R&D1,,,28.31,,,,,,1985.0
18,Wii Play,Wii,Nintendo,Misc,E,Wii,Nintendo,Nintendo EAD,5.9,4.5,28.02,,,,,,2007.0
19,Kinect Adventures!,X360,Microsoft Game Studios,Party,E,X360,Microsoft Game Studios,Good Science Studio,6.7,,24.0,,,,,,2010.0
20,Nintendogs,DS,Nintendo,Simulation,E,DS,Nintendo,Nintendo EAD,8.4,,23.96,,,,,,2005.0
21,Mario Kart DS,DS,Nintendo,Racing,E,DS,Nintendo,Nintendo EAD,9.1,9.4,23.6,,,,,,2005.0
21,Mario Kart DS,DS,Nintendo,Racing,,WiiU,Nintendo,Nintendo EAD,,,,,,,,,2015.0
23,Mario Kart 8 Deluxe,NS,Nintendo,Racing,E,NS,Nintendo,Nintendo EPD,9.3,,15.02,,,,,,2017.0
24,Wii Fit,Wii,Nintendo,Sports,E,Wii,Nintendo,Nintendo EAD,7.9,,22.67,,,,,,2008.0
25,Wii Fit Plus,Wii,Nintendo,Sports,E,Wii,Nintendo,Nintendo EAD,8.0,,21.13,,,,,,2009.0
26,Super Mario World,SNES,Nintendo,Platform,E,SNES,Nintendo,Nintendo EAD,8.5,,20.61,,,,,,1991.0
26,Super Mario World,SNES,Nintendo,Platform,E,VC,Nintendo,Nintendo EAD,8.5,,,,,,,,2007.0
27,Grand Theft Auto V,PS3,Rockstar Games,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,,20.32,6.37,9.85,0.99,3.12,2013.0
27,Grand Theft Auto V,PS3,Rockstar Games,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,,19.39,6.06,9.71,0.6,3.02,2014.0
27,Grand Theft Auto V,PS3,Rockstar Games,Action,M,X360,Rockstar Games,Rockstar North,,,,15.86,9.06,5.33,0.06,1.42,2013.0
27,Grand Theft Auto V,PS3,Rockstar Games,Action,M,PC,Rockstar Games,Rockstar North,,,12.6,,,,,,2015.0
27,Grand Theft Auto V,PS3,Rockstar Games,Action,M,XOne,Rockstar Games,Rockstar North,9.0,9.0,,8.72,4.7,3.25,0.01,0.76,2014.0
29,Grand Theft Auto V,PS4,Rockstar Games,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,,20.32,6.37,9.85,0.99,3.12,2013.0
29,Grand Theft Auto V,PS4,Rockstar Games,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,,19.39,6.06,9.71,0.6,3.02,2014.0
29,Grand Theft Auto V,PS4,Rockstar Games,Action,M,X360,Rockstar Games,Rockstar North,,,,15.86,9.06,5.33,0.06,1.42,2013.0
29,Grand Theft Auto V,PS4,Rockstar Games,Action,M,PC,Rockstar Games,Rockstar North,,,12.6,,,,,,2015.0
29,Grand Theft Auto V,PS4,Rockstar Games,Action,M,XOne,Rockstar Games,Rockstar North,9.0,9.0,,8.72,4.7,3.25,0.01,0.76,2014.0
46,Grand Theft Auto V,X360,Rockstar Games,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,,20.32,6.37,9.85,0.99,3.12,2013.0
46,Grand Theft Auto V,X360,Rockstar Games,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,,19.39,6.06,9.71,0.6,3.02,2014.0
46,Grand Theft Auto V,X360,Rockstar Games,Action,M,X360,Rockstar Games,Rockstar North,,,,15.86,9.06,5.33,0.06,1.42,2013.0
46,Grand Theft Auto V,X360,Rockstar Games,Action,M,PC,Rockstar Games,Rockstar North,,,12.6,,,,,,2015.0
46,Grand Theft Auto V,X360,Rockstar Games,Action,M,XOne,Rockstar Games,Rockstar North,9.0,9.0,,8.72,4.7,3.25,0.01,0.76,2014.0
75,Grand Theft Auto V,PC,Rockstar Games,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,,20.32,6.37,9.85,0.99,3.12,2013.0
75,Grand Theft Auto V,PC,Rockstar Games,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,,19.39,6.06,9.71,0.6,3.02,2014.0
75,Grand Theft Auto V,PC,Rockstar Games,Action,M,X360,Rockstar Games,Rockstar North,,,,15.86,9.06,5.33,0.06,1.42,2013.0
75,Grand Theft Auto V,PC,Rockstar Games,Action,M,PC,Rockstar Games,Rockstar North,,,12.6,,,,,,2015.0
